id,maleup_fn,femaleup_fn,malesame_fn,femalesame_fn,maledown_fn,femaledown_fn,maleup_mt,femaleup_mt,malesame_mt,femalesame_mt,maledown_mt,femaledown_mt
10276684472,0,1,100,99,0,0,1,1,99,99,0,0
10276608720,75,75,25,25,0,0,75,75,25,25,0,0
10276607212,0,0,100,100,0,0,0,0,100,100,0,0
10276487802,10,20,90,80,0,0,40,40,60,60,0,0
10276434153,10,10,80,80,10,10,10,10,80,80,10,10
10276416793,75,75,25,25,0,0,5,5,95,95,0,0
10276404621,0,50,100,50,0,0,50,50,50,50,0,0
10276373042,5,5,95,95,0,0,50,50,50,50,0,0
10276371280,2,10,98,90,0,0,2,10,98,90,0,0
10276366916,0,0,100,100,0,0,0,0,100,100,0,0
